2017-08-22T00:25:00.000Z 31 31-101   #上海31网络故障导致
2017-08-22T14:35:00.000Z 31 31-201   #域内主机进程批量退出
2017-08-22T14:40:00.000Z 13 13-201   #域内主机进程批量退出
2017-08-22T14:45:00.000Z 36 36-201   #域内主机进程批量退出
2017-08-22T14:40:00.000Z 87 87-201   #域内主机进程批量退出
2017-08-22T14:45:00.000Z 97 87-201   #域内主机进程批量退出
2017-08-22T13:50:00.000Z 51 51-301   #广东51集采机存储故障
2017-08-21T10:55:00.000Z 75 75-101   #江西75网络异常
2017-08-21T11:50:00.000Z 71 71-202   #湖北71省分回退
2017-08-20T09:50:00.000Z 91 91-203   #辽宁71停批价
2017-08-19T01:15:00.000Z 11 11-209   #版本发布
2017-08-19T01:20:00.000Z 34 34-209   #版本发布
2017-08-19T01:20:00.000Z 38 38-209   #版本发布
2017-08-19T01:15:00.000Z 86 86-209   #版本发布
2017-08-19T02:00:00.000Z 13 13-209   #版本发布
2017-08-19T02:05:00.000Z 31 31-209   #版本发布
2017-08-19T02:05:00.000Z 36 36-209   #版本发布
2017-08-19T02:05:00.000Z 87 87-209   #版本发布
2017-08-19T02:05:00.000Z 97 97-209   #版本发布
2017-08-19T01:15:00.000Z 51 51-209   #版本发布
2017-08-19T01:20:00.000Z 59 59-209   #版本发布
2017-08-19T01:30:00.000Z 81 81-209   #版本发布
2017-08-19T01:20:00.000Z 79 79-209   #版本发布
2017-08-19T01:20:00.000Z 89 89-209   #版本发布
2017-08-19T01:20:00.000Z 74 74-209   #版本发布
2017-08-19T01:25:00.000Z 75 75-209   #版本发布
2017-08-19T01:20:00.000Z 91 91-209   #版本发布
2017-08-19T01:10:00.000Z 10 10-209   #版本发布
2017-08-19T01:15:00.000Z 76 76-209   #版本发布
2017-08-19T01:20:00.000Z 85 85-209   #版本发布
2017-08-19T01:15:00.000Z 88 88-209   #版本发布
2017-08-19T01:15:00.000Z 17 17-209   #版本发布
2017-08-19T01:20:00.000Z 70 70-209   #版本发布
2017-08-19T01:10:00.000Z 18 18-209   #版本发布
2017-08-19T01:10:00.000Z 71 71-209   #版本发布
2017-08-19T01:15:00.000Z 83 83-209   #版本发布
2017-08-19T01:10:00.000Z 19 19-209   #版本发布
2017-08-19T01:10:00.000Z 30 30-209   #版本发布
2017-08-19T01:15:00.000Z 50 50-209   #版本发布
2017-08-19T01:15:00.000Z 84 84-209   #版本发布
2017-08-19T01:15:00.000Z 90 90-209   #版本发布
2017-08-18T16:10:00.000Z 31 31-101   #上海31网络故障
2017-08-18T03:55:00.000Z 11 11-601   #话单漫游
2017-08-18T03:55:00.000Z 34 34-601   #话单漫游
2017-08-18T03:55:00.000Z 38 38-601   #话单漫游
